,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil16_CE_251_N6_22_None_T9,nan,nan,nan,nan,nan,nan,nan,1.424,3.024,4.365,0.000,0.411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.196,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,2.259,9.257
Soil16_CE_251_N6_28_None_T9,nan,nan,nan,nan,nan,nan,nan,1.632,4.563,4.183,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,1.130,8.141
Soil16_CE_251_N6_3_None_T9,nan,nan,nan,nan,nan,nan,nan,75.904,96.325,50.705,2.792,25.880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.529,nan,nan,nan,nan,nan,nan,1.479,nan,nan,nan,nan,nan,nan,23.748,109.889
Soil16_CE_251_N6_6_None_T9,nan,nan,nan,nan,nan,nan,nan,79.622,105.455,62.674,1.942,32.715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.791,nan,nan,nan,nan,nan,nan,0.862,nan,nan,nan,nan,nan,nan,29.945,132.258
Soil16_CE_251_N6_8_None_T9,nan,nan,nan,nan,nan,nan,nan,64.658,84.609,52.188,1.077,31.181,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.248,nan,nan,nan,nan,nan,nan,1.479,nan,nan,nan,nan,nan,nan,34.733,110.656
Soil17_CE_251_N3_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,1.153,2.739,2.182,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,0.753,6.044
Soil17_CE_251_N3_-40_None_T9,nan,nan,nan,nan,nan,nan,nan,7.364,7.915,7.866,0.862,3.703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000,nan,nan,nan,nan,nan,nan,1.096,nan,nan,nan,nan,nan,nan,3.012,14.987
Soil17_CE_251_N3_-4_None_T9,nan,nan,nan,nan,nan,nan,nan,106.036,113.957,38.697,6.462,31.881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.330,nan,nan,nan,nan,nan,nan,0.478,nan,nan,nan,nan,nan,nan,15.012,82.528
Soil17_CE_251_N3_0_None_T9,nan,nan,nan,nan,nan,nan,nan,72.996,94.945,32.785,7.108,22.411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,11.673,81.074
Soil17_CE_251_N3_10_None_T9,nan,nan,nan,nan,nan,nan,nan,29.388,37.114,16.928,1.508,9.052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.396,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,8.284,43.254
